procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   1346      0    366    0    0     0     0    0 1118 91  0  9  0  0  0 2025-12-22 10:52:08
 1  0      0   1346      0    366    0    0     0     0    0  344 91  0  9  0  0  0 2025-12-22 10:52:09
 1  0      0   1346      0    366    0    0     0     0    0   88 91  0  9  0  0  0 2025-12-22 10:52:10
 1  0      0   1343      0    369    0    0  2684     0    0  677 91  1  8  0  0  0 2025-12-22 10:52:11
 1  0      0   1343      0    369    0    0     0     0    0  949 90  1  9  0  0  0 2025-12-22 10:52:12
 1  0      0   1343      0    369    0    0    60     0    0 2194 91  0  9  0  0  0 2025-12-22 10:52:13
 1  0      0   1343      0    369    0    0     0     0    0 1924 91  0  9  0  0  0 2025-12-22 10:52:14
 1  0      0   1343      0    369    0    0     0     0    0 1405 91  1  8  0  0  0 2025-12-22 10:52:15
 1  0      0   1343      0    369    0    0     0     0    0 1396 91  0  9  0  0  0 2025-12-22 10:52:16
 1  0      0   1343      0    369    0    0     0     0    0 2011 91  0  9  0  0  0 2025-12-22 10:52:17
 1  0      0   1343      0    369    0    0     0     0    0 1913 91  0  9  0  0  0 2025-12-22 10:52:18
 1  0      0   1343      0    369    0    0     0     0    0 1913 90  0 10  0  0  0 2025-12-22 10:52:19
 1  0      0   1343      0    369    0    0     0     0    0 1923 91  0  9  0  0  0 2025-12-22 10:52:20
 1  0      0   1343      0    369    0    0     0     0    0 1929 91  0  9  0  0  0 2025-12-22 10:52:21
 1  0      0   1343      0    369    0    0     0     0    0 1945 91  1  8  0  0  0 2025-12-22 10:52:22
 1  0      0   1343      0    369    0    0     0     0    0 1658 91  0  9  0  0  0 2025-12-22 10:52:23
 1  0      0   1343      0    369    0    0     0     0    0   82 91  0  9  0  0  0 2025-12-22 10:52:24
 1  0      0   1343      0    369    0    0     0     0    0  107 91  0  9  0  0  0 2025-12-22 10:52:25
 1  0      0   1343      0    369    0    0     0    20    0  115 90  1  9  0  0  0 2025-12-22 10:52:26
 1  0      0   1343      0    369    0    0     0     0    0 1176 91  0  9  0  0  0 2025-12-22 10:52:27
 1  0      0   1343      0    369    0    0     0     0    0 1941 91  0  9  0  0  0 2025-12-22 10:52:28
 1  0      0   1343      0    371    0    0  2044     0    0 2362 89  2  9  0  0  0 2025-12-22 10:52:29
